Country,Title,URL
Sweden,Prime Ministers,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Sweden
Norway,Prime Ministers,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Norway
Denmark,Prime Ministers,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Denmark
Finland,Prime Ministers,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Finland
Netherlands,Prime Ministers,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_the_Netherlands
Belgium,Prime Ministers,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Belgium
Italy,Prime Ministers,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Italy
Spain,Prime Ministers,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Spain
Poland,Prime Ministers,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Poland
Ireland,Prime Ministers,https://en.wikipedia.org/wiki/List_of_taoisigh_of_Ireland
Portugal,Prime Ministers,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Portugal
Greece,Prime Ministers,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Greece
Czech Republic,Prime Ministers,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_the_Czech_Republic
Hungary,Prime Ministers,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Hungary
Austria,Chancellors,https://en.wikipedia.org/wiki/List_of_chancellors_of_Austria
Switzerland,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_the_Swiss_Confederation
Romania,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Romania
Bulgaria,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Bulgaria
Croatia,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Croatia
Serbia,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Serbia
Slovakia,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Slovakia
Slovenia,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Slovenia
Ukraine,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Ukraine
Russia,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Russia
Iceland,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Iceland
Estonia,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Estonia
Latvia,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Latvia
Lithuania,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Lithuania
Brazil,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Brazil
Mexico,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Mexico
Argentina,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Argentina
Chile,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Chile
Colombia,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Colombia
Peru,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Peru
Venezuela,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Venezuela
Uruguay,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Uruguay
Paraguay,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Paraguay
Bolivia,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Bolivia
Ecuador,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Ecuador
Costa Rica,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Costa_Rica
Panama,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Panama
Cuba,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Cuba
Dominican Republic,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_the_Dominican_Republic
Guatemala,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Guatemala
Honduras,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Honduras
El Salvador,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_El_Salvador
China,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_China
South Korea,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_South_Korea
North Korea,Leaders,https://en.wikipedia.org/wiki/List_of_leaders_of_North_Korea
Indonesia,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Indonesia
Malaysia,Prime Ministers,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Malaysia
Singapore,Prime Ministers,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Singapore
Thailand,Prime Ministers,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Thailand
Vietnam,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Vietnam
Philippines,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_the_Philippines
Pakistan,Prime Ministers,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Pakistan
Bangladesh,Prime Ministers,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Bangladesh
Sri Lanka,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Sri_Lanka
Nepal,Prime Ministers,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Nepal
Myanmar,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Myanmar
Kazakhstan,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Kazakhstan
Uzbekistan,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Uzbekistan
Israel,Prime Ministers,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Israel
Turkey,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Turkey
Iran,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Iran
Iraq,Presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_Iraq
Saudi Arabia,Kings,https://en.wikipedia.org/wiki/List_of_kings_of_Saudi_Arabia
Jordan,Kings,https://en.wikipedia.org/wiki/List_of_kings_of_Jordan
